(T)ask,(M)odel,(S)ubset,M-S-T,S-T,M-T,M-S,M-S-T Languages
XNLI,mT5-xl,ALL,13/15,13/15,15/15,50/52,"ar,en,es,hi,ur,sw,tr,de,fr,ru,vi,zh,th"
XNLI,mGPT,ALL,12/15,13/15,14/15,39/52,"ar,en,es,hi,ur,sw,tr,de,fr,ru,vi,th"
XNLI,mT5-xl,RND,9/15,9/15,15/15,31/32,"ar,en,es,hi,fr,de,ru,vi,zh"
XNLI,mT5-xl,TYPO,9/15,9/15,15/15,20/21,"ar,en,hi,ur,sw,de,vi,zh,th"
XNLI,Bloom,ALL,8/15,13/15,8/15,18/46,"ar,en,es,hi,ur,sw,fr,vi"
XNLI,mGPT,RND,8/15,9/15,14/15,24/32,"ar,en,es,hi,fr,de,ru,vi"
XNLI,mGPT,TYPO,8/15,9/15,14/15,18/21,"ar,en,hi,ur,sw,de,vi,th"
XNLI,mT5-xl,FAM,7/15,7/15,15/15,21/22,"ar,en,sw,tr,vi,zh,th"
XNLI,Bloom,RND,6/15,9/15,8/15,13/32,"ar,en,es,hi,fr,vi"
XNLI,Bloom,TYPO,6/15,9/15,8/15,8/21,"ar,en,hi,ur,sw,vi"
XNLI,mGPT,FAM,6/15,7/15,14/15,20/22,"ar,en,sw,tr,vi,th"
XNLI,Bloom,FAM,4/15,7/15,8/15,8/22,"sw,ar,vi,en"
XNLI,mT5-xl,GEO,4/15,4/15,15/15,15/16,"sw,fr,vi,ur"
XNLI,mGPT,GEO,4/15,4/15,14/15,14/16,"sw,fr,vi,ur"
XNLI,Bloom,GEO,4/15,4/15,8/15,8/16,"sw,fr,vi,ur"
XNLI,mT5-xl,LEARN,3/15,3/15,15/15,18/20,"tr,hi,vi"
XNLI,mT5-xl,SEM,3/15,3/15,15/15,15/16,"fr,vi,en"
XNLI,mGPT,LEARN,3/15,3/15,14/15,15/20,"tr,hi,vi"
XNLI,mGPT,SEM,3/15,3/15,14/15,11/16,"fr,vi,en"
XNLI,Bloom,SEM,3/15,3/15,8/15,5/16,"fr,vi,en"
XNLI,Bloom,LEARN,2/15,3/15,8/15,5/20,"hi,vi"
,,,,,,,
XCOPA,mT5-xl,ALL,9/11,9/11,10/11,50/52,"ta,et,it,tr,sw,id,vi,zh,th"
XCOPA,mGPT,ALL,8/11,9/11,8/11,39/52,"ta,et,it,tr,sw,id,vi,th"
XCOPA,mT5-xl,FAM,8/11,8/11,10/11,21/22,"ta,et,tr,sw,id,vi,zh,th"
XCOPA,mGPT,FAM,7/11,8/11,8/11,20/22,"ta,et,tr,sw,id,vi,th"
XCOPA,mT5-xl,TYPO,7/11,7/11,10/11,20/21,"ta,et,it,sw,vi,zh,th"
XCOPA,mGPT,TYPO,6/11,7/11,8/11,18/21,"ta,et,it,sw,vi,th"
XCOPA,mT5-xl,RND,6/11,6/11,10/11,31/32,"ta,et,it,id,vi,zh"
XCOPA,mGPT,RND,5/11,6/11,8/11,24/32,"ta,et,it,id,vi"
XCOPA,mT5-xl,GEO,5/11,5/11,10/11,15/16,"ta,et,sw,id,vi"
XCOPA,mGPT,GEO,5/11,5/11,8/11,14/16,"ta,et,sw,id,vi"
XCOPA,Bloom,ALL,4/11,9/11,4/11,18/46,"sw,ta,id,vi"
XCOPA,Bloom,FAM,4/11,8/11,4/11,8/22,"sw,ta,id,vi"
XCOPA,Bloom,GEO,4/11,5/11,4/11,8/16,"sw,ta,id,vi"
XCOPA,mT5-xl,LEARN,4/11,4/11,10/11,18/20,"tr,ta,id,vi"
XCOPA,mGPT,LEARN,4/11,4/11,8/11,15/20,"tr,ta,id,vi"
XCOPA,Bloom,TYPO,3/11,7/11,4/11,8/21,"sw,ta,vi"
XCOPA,Bloom,RND,3/11,6/11,4/11,13/32,"ta,id,vi"
XCOPA,Bloom,LEARN,3/11,4/11,4/11,5/20,"ta,id,vi"
XCOPA,mT5-xl,SEM,1/11,1/11,10/11,15/16,vi
XCOPA,mGPT,SEM,1/11,1/11,8/11,11/16,vi
XCOPA,Bloom,SEM,1/11,1/11,4/11,5/16,vi
,,,,,,,
XStoryCloze,mT5-xl,ALL,10/11,10/11,11/11,50/52,"ar,en,es,te,my,hi,sw,id,ru,zh"
XStoryCloze,mGPT,ALL,9/11,10/11,10/11,39/52,"ar,en,es,te,my,hi,sw,id,ru"
XStoryCloze,Bloom,ALL,7/11,10/11,8/11,18/46,"ar,en,es,te,hi,sw,id"
XStoryCloze,mT5-xl,RND,7/11,7/11,11/11,31/32,"ar,en,es,hi,id,ru,zh"
XStoryCloze,mGPT,RND,6/11,7/11,10/11,24/32,"ar,en,es,hi,id,ru"
XStoryCloze,mT5-xl,FAM,6/11,6/11,11/11,21/22,"ar,en,my,sw,id,zh"
XStoryCloze,Bloom,RND,5/11,7/11,8/11,13/32,"ar,en,es,hi,id"
XStoryCloze,mGPT,FAM,5/11,6/11,10/11,20/22,"ar,en,my,sw,id"
XStoryCloze,mT5-xl,TYPO,5/11,5/11,11/11,20/21,"ar,en,hi,sw,zh"
XStoryCloze,Bloom,FAM,4/11,6/11,8/11,8/22,"sw,id,ar,en"
XStoryCloze,Bloom,TYPO,4/11,5/11,8/11,8/21,"sw,ar,hi,en"
XStoryCloze,mGPT,TYPO,4/11,5/11,10/11,18/21,"sw,ar,hi,en"
XStoryCloze,mT5-xl,LEARN,3/11,3/11,11/11,18/20,"id,my,hi"
XStoryCloze,mGPT,LEARN,3/11,3/11,10/11,15/20,"id,my,hi"
XStoryCloze,Bloom,LEARN,2/11,3/11,8/11,5/20,"id,hi"
XStoryCloze,mT5-xl,GEO,2/11,2/11,11/11,15/16,"sw,id"
XStoryCloze,mGPT,GEO,2/11,2/11,10/11,14/16,"sw,id"
XStoryCloze,Bloom,GEO,2/11,2/11,8/11,8/16,"sw,id"
XStoryCloze,mT5-xl,SEM,1/11,1/11,11/11,15/16,en
XStoryCloze,mGPT,SEM,1/11,1/11,10/11,15/16,en
XStoryCloze,Bloom,SEM,1/11,1/11,8/11,5/16,en
,,,,,,,
XWinograd,mT5-xl,ALL,6/6,6/6,6/6,50/52,"en,pt,ja,fr,ru,zh"
XWinograd,mT5-xl,RND,6/6,6/6,6/6,31/32,"en,pt,ja,fr,ru,zh"
XWinograd,mGPT,ALL,5/6,6/6,5/6,39/52,"en,pt,ja,fr,ru"
XWinograd,mGPT,RND,5/6,6/6,5/6,24/32,"en,pt,ja,fr,ru"
XWinograd,Bloom,ALL,3/6,6/6,3/6,18/46,"fr,en,pt"
XWinograd,Bloom,RND,3/6,6/6,3/6,13/32,"fr,en,pt"
XWinograd,mT5-xl,FAM,3/6,3/6,6/6,21/22,"ja,zh,en"
XWinograd,mT5-xl,TYPO,3/6,3/6,6/6,20/21,"ja,zh,en"
XWinograd,mGPT,FAM,2/6,3/6,5/6,20/22,"ja,en"
XWinograd,mGPT,TYPO,2/6,3/6,5/6,18/21,"ja,en"
XWinograd,mT5-xl,LEARN,2/6,2/6,6/6,18/20,"ja,pt"
XWinograd,mT5-xl,GEO,2/6,2/6,6/6,15/16,"fr,ja"
XWinograd,mT5-xl,SEM,2/6,2/6,6/6,15/16,"fr,en"
XWinograd,mGPT,LEARN,2/6,2/6,5/6,15/20,"ja,pt"
XWinograd,mGPT,GEO,2/6,2/6,5/6,14/16,"fr,ja"
XWinograd,mGPT,SEM,2/6,2/6,5/6,11/16,"fr,en"
XWinograd,Bloom,SEM,2/6,2/6,3/6,5/16,"fr,en"
XWinograd,Bloom,FAM,1/6,3/6,3/6,8/22,en
XWinograd,Bloom,TYPO,1/6,3/6,3/6,8/21,en
XWinograd,Bloom,GEO,1/6,2/6,3/6,8/16,fr
XWinograd,Bloom,LEARN,1/6,2/6,3/6,5/20,pt
,,,,,,,
PAWS-X,mT5-xl,ALL,7/7,7/7,7/7,50/52,"en,es,ja,fr,de,ko,zh"
PAWS-X,mT5-xl,RND,7/7,7/7,7/7,31/32,"en,es,ja,fr,de,ko,zh"
PAWS-X,mGPT,ALL,6/7,7/7,6/7,39/52,"en,es,ja,fr,de,ko"
PAWS-X,mGPT,RND,6/7,7/7,6/7,24/32,"en,es,ja,fr,de,ko"
PAWS-X,mT5-xl,FAM,4/7,4/7,7/7,21/22,"ja,ko,zh,en"
PAWS-X,mT5-xl,TYPO,4/7,4/7,7/7,20/21,"de,ja,zh,en"
PAWS-X,Bloom,ALL,3/7,7/7,3/7,18/46,"es,fr,en"
PAWS-X,Bloom,RND,3/7,7/7,3/7,13/32,"es,fr,en"
PAWS-X,mGPT,FAM,3/7,4/7,6/7,20/22,"ja,ko,en"
PAWS-X,mGPT,TYPO,3/7,4/7,6/7,18/21,"de,ja,en"
PAWS-X,mT5-xl,SEM,3/7,3/7,7/7,15/16,"fr,ko,en"
PAWS-X,mGPT,SEM,3/7,3/7,6/7,11/16,"fr,ko,en"
PAWS-X,Bloom,SEM,2/7,3/7,3/7,5/16,"fr,en"
PAWS-X,mT5-xl,LEARN,2/7,2/7,7/7,18/20,"ja,ko"
PAWS-X,mT5-xl,GEO,2/7,2/7,7/7,15/16,"fr,ja"
PAWS-X,mGPT,LEARN,2/7,2/7,6/7,15/20,"ja,ko"
PAWS-X,mGPT,GEO,2/7,2/7,6/7,14/16,"fr,ja"
PAWS-X,Bloom,FAM,1/7,4/7,3/7,8/22,en
PAWS-X,Bloom,TYPO,1/7,4/7,3/7,8/21,en
PAWS-X,Bloom,GEO,1/7,2/7,3/7,8/16,fr
PAWS-X,Bloom,LEARN,0/7,2/7,3/7,5/20,-
